ID,Sequence,Title,Notes,All_Day,Anchor_Type,SY_Month,SY_Day,SY_Start_Year,Origin_Gregorian_Date,Gregorian_First_Year,ShowOnCalendar,ShowInInspector,ShowNotesOnCalendar,Category,Rank,GY_Month,GY_Day,Nth,Weekday,Offset_Days,End_Gregorian_Date,End_TZ
"OneOFF_MiAViG_MiA,ViG_-_Event_#_49",490,"MiA,ViG - Event # 49","Mars in Aries, Venus in Gemini - Instance 49 of the Constellation of This",TRUE,GY_ONEOFF,,,0392,2385-07-17 00:00:00,2385,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,17,,,,2385-08-08 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_50",500,"MiA,ViG - Event # 50","Mars in Aries, Venus in Gemini - Instance 50 of the Constellation of This",TRUE,GY_ONEOFF,,,0394,2387-06-17 00:00:00,2387,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,17,,,,2387-07-09 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_51",510,"MiA,ViG - Event # 51","Mars in Aries, Venus in Gemini - Instance 51 of the Constellation of This",TRUE,GY_ONEOFF,,,0396,2389-05-24 00:00:00,2389,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,24,,,,2389-06-12 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_52",520,"MiA,ViG - Event # 52","Mars in Aries, Venus in Gemini - Instance 52 of the Constellation of This",TRUE,GY_ONEOFF,,,0409,2402-06-27 00:00:00,2402,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,27,,,,2402-07-28 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_53",530,"MiA,ViG - Event # 53","Mars in Aries, Venus in Gemini - Instance 53 of the Constellation of This",TRUE,GY_ONEOFF,,,0422,2415-08-29 00:00:00,2415,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,8,29,,,,2415-09-05 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_54",540,"MiA,ViG - Event # 54","Mars in Aries, Venus in Gemini - Instance 54 of the Constellation of This",TRUE,GY_ONEOFF,,,0424,2417-07-15 00:00:00,2417,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,15,,,,2417-08-06 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_55",550,"MiA,ViG - Event # 55","Mars in Aries, Venus in Gemini - Instance 55 of the Constellation of This",TRUE,GY_ONEOFF,,,0426,2419-06-15 00:00:00,2419,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,15,,,,2419-07-07 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_56",560,"MiA,ViG - Event # 56","Mars in Aries, Venus in Gemini - Instance 56 of the Constellation of This",TRUE,GY_ONEOFF,,,0428,2421-05-20 00:00:00,2421,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,20,,,,2421-06-11 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_57",570,"MiA,ViG - Event # 57","Mars in Aries, Venus in Gemini - Instance 57 of the Constellation of This",TRUE,GY_ONEOFF,,,0441,2434-06-21 00:00:00,2434,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,21,,,,2434-07-01 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_58",580,"MiA,ViG - Event # 58","Mars in Aries, Venus in Gemini - Instance 58 of the Constellation of This",TRUE,GY_ONEOFF,,,0454,2447-08-10 00:00:00,2447,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,8,10,,,,2447-09-03 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_59",590,"MiA,ViG - Event # 59","Mars in Aries, Venus in Gemini - Instance 59 of the Constellation of This",TRUE,GY_ONEOFF,,,0456,2449-07-13 00:00:00,2449,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,13,,,,2449-08-01 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_60",600,"MiA,ViG - Event # 60","Mars in Aries, Venus in Gemini - Instance 60 of the Constellation of This",TRUE,GY_ONEOFF,,,0458,2451-06-13 00:00:00,2451,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,13,,,,2451-07-05 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_61",610,"MiA,ViG - Event # 61","Mars in Aries, Venus in Gemini - Instance 61 of the Constellation of This",TRUE,GY_ONEOFF,,,0460,2453-05-16 00:00:00,2453,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,16,,,,2453-06-10 00:00:00,
